"grid","beetle","fungal_unit","genus","species","n_samples","beetle_n","fungus_n","shared_n","beetle_only","fungus_only","both_absent","jaccard","exp_jaccard_null","sd_jaccard_null","z_score","p_pos","p_neg","p_perm","q_perm","p_fisher","q_fisher","direction","beetle_is_target"
"asv","Conophthorus coniperda","ASV_1122","Raffaelea","arxii",69,4,8,1,3,7,58,0.0909090909090909,0.0281504388557918,0.0420424526321067,1.49274478828507,0.31,1,0.62,1,0.396351189877166,0.95506581609781,"co-occurring",FALSE
"asv","Conophthorus coniperda","ASV_3556","Sporothrix","rossii",69,4,9,1,3,8,57,0.0833333333333333,0.0540762805645241,0.0517328166971507,0.565541461623539,0.577,0.939,1,1,0.435934718409811,0.973131695423722,"co-occurring",FALSE
"asv","Conophthorus coniperda","ASV_660","Grosmannia","francke-grosmanniae",69,4,13,1,3,12,53,0.0625,0.0193534267133567,0.0289041861845732,1.49274478828508,0.31,1,0.62,1,0.575142191854029,1,"co-occurring",FALSE
"asv","Conophthorus coniperda","ASV_8895","Ceratocystiopsis","manitobensis",69,4,13,1,3,12,53,0.0625,0.0903598777410686,0.060541246654336,-0.460180113239759,0.8635,0.594,1,1,0.575142191854029,1,"avoiding",FALSE
"asv","Conophthorus coniperda","ASV_4044","Graphilbum",NA,69,4,6,0,4,6,59,0,0.0222889222388974,0.0445055246813041,-0.500812481113395,1,0.7995,1,1,1,1,"avoiding",FALSE
"asv","Conophthorus coniperda","ASV_4337","Ophiostoma","undulatum",69,4,4,0,4,4,61,0,0,0,NA,1,1,1,1,1,1,"co-occurring",FALSE
"asv","Conophthorus coniperda","ASV_5724","Graphilbum",NA,69,4,4,0,4,4,61,0,0,0,NA,1,1,1,1,1,1,"co-occurring",FALSE
"asv","Conophthorus coniperda","ASV_6045","Sporothrix",NA,69,4,7,0,4,7,58,0,0.0511922627980653,0.0626672348872987,-0.816890403575806,1,0.5525,1,1,1,1,"avoiding",FALSE
"asv","Conophthorus coniperda","ASV_6117","Leptographium","gracile",69,4,13,0,4,13,52,0,0.0653692917887521,0.0525681068745909,-1.24351618643411,1,0.273,0.546,1,1,1,"avoiding",FALSE
"asv","Conophthorus coniperda","ASV_7886","Grosmannia",NA,69,4,4,0,4,4,61,0,0,0,NA,1,1,1,1,1,1,"co-occurring",FALSE
"asv","Conophthorus coniperda","ASV_8974","Ophiostoma","karelicum",69,4,3,0,4,3,62,0,0.0260130065032515,0.0605033537919092,-0.429943215920208,1,0.844,1,1,1,1,"avoiding",FALSE
"asv","Conophthorus coniperda","ASV_9224","Ophiostoma","sparsiannulatum",69,4,3,0,4,3,62,0,0,0,NA,1,1,1,1,1,1,"co-occurring",FALSE
"asv","Conophthorus coniperda","ASV_11554","Raffaelea","crossotarsi",69,4,3,0,4,3,62,0,0,0,NA,1,1,1,1,1,1,"co-occurring",FALSE
"asv","Conophthorus coniperda","ASV_11600","Ophiostoma","undulatum",69,4,4,0,4,4,61,0,0,0,NA,1,1,1,1,1,1,"co-occurring",FALSE
"asv","Conophthorus coniperda","ASV_13560","Hawksworthiomyces",NA,69,4,7,0,4,7,58,0,0.0543771885942966,0.0657057865306926,-0.827585993037246,1,0.539,1,1,1,1,"avoiding",FALSE
"asv","Conophthorus coniperda","ASV_21569","Sporothrix",NA,69,4,7,0,4,7,58,0,0.0693624590072802,0.0646438608554415,-1.07299375515937,1,0.399,0.798,1,1,1,"avoiding",FALSE
"asv","Conophthorus coniperda","ASV_22166","Grosmannia","cucullata",69,4,4,0,4,4,61,0,0,0,NA,1,1,1,1,1,1,"co-occurring",FALSE
"asv","Conophthorus coniperda","ASV_22950","Sporothrix",NA,69,4,6,0,4,6,59,0,0,0,NA,1,1,1,1,1,1,"co-occurring",FALSE
"asv","Conophthorus coniperda","ASV_23023","Sporothrix",NA,69,4,4,0,4,4,61,0,0.10157459682222,0.104860898059764,-0.968660374855163,1,0.432,0.864,1,1,1,"avoiding",FALSE
"asv","Conophthorus coniperda","ASV_27488","Ceratocystiopsis","synnemata",69,4,4,0,4,4,61,0,0,0,NA,1,1,1,1,1,1,"co-occurring",FALSE
"asv","Conophthorus coniperda","ASV_28495","Raffaelea","subfusca",69,4,3,0,4,3,62,0,0.0334333833583457,0.0667582870219548,-0.5008124811134,1,0.7995,1,1,1,1,"avoiding",FALSE
